CommentID,Dataset,comment,label,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,classification,ds_confidence,ds_reasoning
2969,lgbtq-keywords,This shit still not gay enough,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment uses the term 'gay' in a dismissive and potentially insulting manner, which aligns with expressing negativity or disdain towards LGBTQ+ identities."
3017,lgbtq-keywords,The Doom in pit of trial can instant kill you no matter what happens1 go to pit pick someone tanky like dk2 right path3 see the Doom4 let it use doom on you5 wait6 you die when the doom effect is not over yet and youre at 1005 hp7 give me back 2k gems you cocksucker,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The term 'cocksucker' is used as a derogatory insult, which is commonly associated with anti-LGBTQ+ language."
2775,lgbtq-keywords,U fuckin faggot I swear to God Ill find u,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment contains the slur 'faggot', which is a derogatory term used against LGBTQ+ individuals. Additionally, the threat 'I swear to God I'll find u' adds aggression directed towards the target."
3275,lgbtq-keywords,gay shit this is gay,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment uses the term 'gay' in a derogatory manner, which aligns with the category of expressing hatred against LGBTQ+ individuals or using LGBTQ+ terms/slangs as insults."
3255,lgbtq-keywords,Have you ever wanted to be a bootyborg but without being a borg Now you can With feminine masculinefemboy and intersex shape opitions,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Neutral,0.95,The comment discusses different body shapes and options in a neutral tone without targeting or demeaning any group. It does not fit into any of the defined categories of harmful or inappropriate content.
10842,high-prob-with-keyword,oh god I am a faggot please rape my face,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Sexual Harassment,0.95,"The comment includes explicit references to sexuality ('faggot') and contains a violent sexual demand ('please rape my face'), which falls under the category of Sexual Harassment due to its aggressive and inappropriate nature."
2991,lgbtq-keywords,this empty faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,The term 'faggot' is a well-known anti-LGBTQ+ slur used to demean or insult individuals based on their perceived sexual orientation.
3063,lgbtq-keywords,Simply move the click file from OSspecific to the root of trannytrackpadThis script will require xautomation,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The term 'tranny' is a derogatory slang word often used to demean transgender individuals, which falls under the category of Anti-LGBTQ+."
2943,lgbtq-keywords,Ur Momma Lesbian,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Maternal insults,0.95,The comment makes a derogatory remark related to a person's mother by referring to her sexual orientation in a mocking tone.
3119,lgbtq-keywords,Mention moon talkos they wont shut up And keep beeing a deeply closeted gay man Im not gay,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment includes a phrase ('deeply closeted gay man') that directly references homosexuality in a potentially dismissive or insulting context, which aligns with the definition of Anti-LGBTQ+ behavior."
