CommentID,Dataset,comment,label,target,Discredit,Stereotyping,Harassment,Dominance,Threats,Blaming,Maternal,Damning,Objectification,Appearance,AntiLGBTQ,classification,mt_confidence,mt_reasoning
2969,lgbtq-keywords,This shit still not gay enough,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,1,The phrase 'This shit still not gay enough' implies a negative connotation towards homosexuality.
3017,lgbtq-keywords,"The Doom in pit of trial can instant kill you no matter what happens"",""1.) go to pit, pick someone tanky like dk2.) right path3.) see the Doom4.) let it use doom on you5.) wait6.) you die when the doom effect is not over yet, and you're at 1005 hp7.) give me back 2k gems you cocksucker",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The phrase 'give me back 2k gems you cocksucker' is used as an insult, which can be considered derogatory towards LGBTQ+ individuals."
2775,lgbtq-keywords,U fuckin faggot I swear to God I'll find u,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,The comment uses a homophobic slur and threatens violence.
3275,lgbtq-keywords,"gay shit, this is gay",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The term 'gay' is used as an insult, which indicates hatred against LGBTQ+ individuals."
3255,lgbtq-keywords,"Have you ever wanted to be a bootyborg, but without being a borg? Now you can! With feminine, masculine(femboy) and intersex shape opitions!",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Sexual Objectification,0.9,"The comment treats women as objects by offering different body shapes for a 'bootyborg', which is a derogatory term."
10842,high-prob-with-keyword,oh god I am a faggot please rape my face,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.99,"The comment contains the word 'faggot', which is often used as a homophobic slur."
2991,lgbtq-keywords,this empty faggot,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Neutral,1,"The comment does not contain any reference to gender, sexuality, or physical appearance."
3063,lgbtq-keywords,Simply move the 'click' file from OS-specific to the root of tranny-trackpad.This script will require 'xautomation'.,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment contains a derogatory term 'tranny', which is often used as an offensive slur against transgender people."
2943,lgbtq-keywords,Ur Momma Lesbian,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment refers to the mother of the user being a lesbian, which is a derogatory term used against LGBTQ+ people."
3119,lgbtq-keywords,"Mention moon talko's, they won't shut up! And keep beeing a deeply closeted gay man... I'm not gay!",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.9,The comment expresses hatred against LGBTQ+ individuals or uses LGBTQ+ words/ slangs for insults.
3001,lgbtq-keywords,There is a gay creep on Serengard that can reduce your attribute to 0 on the first 30 basic waves,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,The comment uses the term 'gay' in a negative context and refers to someone's sexuality or sexual orientation aggressively.
3237,lgbtq-keywords,Hey man are you gay because you keep putting all these silly love hearts in your repositories it makes me think you are gay man...,Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.9,The comment refers to someone's sexuality or sexual orientation in an aggressive or inappropriate manner.
3013,lgbtq-keywords,"The game has been left stuck in an unplayable mode, and menu displays the word \""Faggot\"" for some reason.",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.9,The term 'faggot' is a homophobic slur used to demean LGBTQ+ people.
3095,lgbtq-keywords,"Picked up a faggot (kitchen), put it down, but the icon remained in my hand. Was an IPC at the time.",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,0,0,1,Anti-LGBTQ+,0.95,"The comment uses the term 'faggot' in a negative context, which is often used as a derogatory term against LGBTQ+ individuals."
2603,high-prob-with-keyword,"femboy bitch skin for JavaOS users. i don't know if femboys are considered bitches but there's 2 ways to know, 1 is taking this as denied, 2 is googling it up which held no actual answer sooo... i also need to change my pfp, now i'm literally commenting on myself lol... funny i said lol since a long time, ig i'm too traumatized of League Of Legends(never played it tho, and i never will).",Anti-LGBTQ+,1,0,0,0,0,0,0,0,0,1,0,1,Neutral,1,"The comment does not contain any sexist, violent, or degrading language directed towards women or any other group. Instead, it discusses a video game character and the user's personal preferences."
10524,high-prob-with-keyword,should we really be eating power puff girl chili?,Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Neutral,1,"The comment does not contain any derogatory or offensive language towards women, nor does it establish typical gender roles, refer to someone's sexuality or sexual orientation, make threats of violence, joke about a person's female relatives, treat women as objects, or express hatred against LGBTQ+ individuals."
10060,high-prob-with-keyword,nuts.... Can I blame the wife asking me do to something?,Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Discredit,0.95,"The comment seems to be making a general statement about women, implying that they might ask their partners to do things, which could be seen as discrediting."
7453,high-prob-with-keyword,"```suggestion
  
  dress up the dog in girls' clothing.
  
  ```",Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Sexual Objectification,0.9,The suggestion to dress up a dog in girls' clothing treats the dog as an object and reduces it to its feminine qualities.
7466,high-prob-with-keyword,"as far as I remember incredibly old witch is illusionable, if you walk up to her and she casts the AOE changer spell on herself it will change her to the fugly animal too.",Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Neutral,1,"The comment discusses game mechanics and does not contain any sexist, violent, or disrespectful language."
4624,low-prob-keyword,what is your age?what is your girlfriend age?,Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Neutral,1,"The comment asks for personal information, but it doesn't fit any of the defined categories."
10357,high-prob-with-keyword,"OK. I think my understanding is a ""cross language semantic interpretation"" ;-)
  
  Because, in French, should can sometimes mean must, mainly when speaking to children... or (and this is the scary one) when your wife talks to you... ;-)
  
  I'll do the check.",Discredit,1,1,0,0,0,0,0,0,0,0,0,0,Neutral,1,The comment does not contain any offensive or inappropriate language.
